origin,dest,distance,arr_delay
JFK,PBI,1028.0,2.0
EWR,EGE,1726.0,13.0
LGA,RSW,1080.0,-26.0
EWR,DCA,199.0,-14.0
EWR,DEN,1605.0,30.0
EWR,TPA,997.0,9.0
LGA,FLL,1076.0,-1.0
LGA,ORD,733.0,13.0
JFK,LAS,2248.0,-6.0
JFK,BUF,301.0,-5.0
JFK,FLL,1069.0,42.0
LGA,MDW,725.0,15.0
LGA,TPA,1010.0,-16.0
LGA,SRQ,1047.0,-12.0
LGA,PBI,1035.0,3.0
LGA,MKE,738.0,7.0
LGA,ORD,733.0,-11.0
LGA,ATL,762.0,6.0
JFK,LAX,2475.0,2.0
EWR,AVL,583.0,-16.0
JFK,PWM,273.0,-17.0
EWR,STL,872.0,13.0
LGA,BNA,764.0,12.0
EWR,LAX,2454.0,39.0
EWR,PHX,2133.0,11.0
LGA,ATL,762.0,0.0
EWR,BOS,200.0,123.0
LGA,FLL,1076.0,-6.0
LGA,CLT,544.0,-15.0
EWR,FLL,1065.0,-25.0
JFK,PHX,2153.0,39.0
EWR,DEN,1605.0,5.0
EWR,ORD,719.0,7.0
LGA,MSP,1020.0,-10.0
EWR,CLT,529.0,-6.0
JFK,CLT,541.0,11.0
LGA,IAD,229.0,5.0
JFK,LAS,2248.0,-21.0
LGA,ATL,762.0,2.0
EWR,BUF,282.0,-10.0
LGA,RDU,431.0,-11.0
LGA,DFW,1389.0,26.0
EWR,MCO,937.0,-4.0
JFK,LAX,2475.0,11.0
LGA,IAH,1416.0,11.0
JFK,SFO,2586.0,32.0
EWR,CHS,628.0,-17.0
JFK,SFO,2586.0,-22.0
EWR,FLL,1065.0,-11.0
EWR,IND,645.0,15.0
EWR,BOS,200.0,-6.0
LGA,ORD,733.0,11.0
EWR,ORD,719.0,21.0
JFK,MCO,944.0,-1.0
EWR,MKE,725.0,19.0
EWR,IAH,1400.0,1.0
EWR,RSW,1068.0,-11.0
LGA,DFW,1389.0,-6.0
JFK,SLC,1990.0,-9.0
LGA,DTW,502.0,12.0
LGA,FLL,1076.0,4.0
LGA,ATL,762.0,-13.0
EWR,PWM,284.0,-6.0
LGA,TPA,1010.0,-6.0
LGA,DCA,214.0,-6.0
LGA,BWI,185.0,-14.0
JFK,DCA,213.0,-5.0
EWR,LAS,2227.0,-9.0
EWR,PBI,1023.0,13.0
LGA,MIA,1096.0,-11.0
EWR,SFO,2565.0,23.0
LGA,CMH,479.0,-5.0
LGA,MIA,1096.0,-23.0
JFK,BTV,266.0,-4.0
JFK,SFO,2586.0,2.0
LGA,DTW,502.0,3.0
LGA,IAH,1416.0,145.0
EWR,SAV,708.0,78.0
LGA,STL,888.0,5.0
LGA,DEN,1620.0,34.0
JFK,SFO,2586.0,4.0
LGA,RSW,1080.0,0.0
LGA,CLT,544.0,-7.0
EWR,RDU,416.0,-6.0
JFK,LAX,2475.0,16.0
EWR,PBI,1023.0,-4.0
EWR,TPA,997.0,-15.0
LGA,ORD,733.0,-4.0
LGA,MSP,1020.0,3.0
LGA,CLE,419.0,-6.0
JFK,RSW,1074.0,3.0
JFK,LAX,2475.0,-2.0
EWR,MIA,1085.0,-16.0
LGA,PBI,1035.0,-6.0
EWR,SNA,2434.0,5.0
EWR,ATL,746.0,11.0
LGA,CAK,397.0,8.0
EWR,SYR,195.0,-12.0
EWR,CMH,463.0,9.0
JFK,FLL,1069.0,29.0
JFK,LAX,2475.0,-39.0
EWR,BOS,200.0,-13.0
LGA,ATL,762.0,22.0
JFK,LAX,2475.0,7.0
LGA,FLL,1076.0,-12.0
LGA,ATL,762.0,1.0
JFK,DCA,213.0,-3.0
EWR,ROC,246.0,-5.0
LGA,RDU,431.0,-3.0
EWR,MCO,937.0,-4.0
LGA,DFW,1389.0,10.0
EWR,BWI,169.0,-4.0
LGA,ORD,733.0,7.0
JFK,CLT,541.0,12.0
EWR,BTV,266.0,4.0
EWR,SJU,1608.0,-8.0
EWR,ATL,746.0,24.0
JFK,SFO,2586.0,-26.0
EWR,MCO,937.0,12.0
EWR,IAH,1400.0,-2.0
EWR,BUF,282.0,-3.0
JFK,HOU,1428.0,38.0
EWR,CLT,529.0,10.0
EWR,ORD,719.0,24.0
EWR,SFO,2565.0,-4.0
LGA,STL,888.0,0.0
LGA,MSY,1183.0,-9.0
EWR,MDW,711.0,23.0
EWR,JAX,820.0,43.0
JFK,TPA,1005.0,-6.0
EWR,PHX,2133.0,27.0
EWR,DTW,488.0,2.0
LGA,DTW,502.0,3.0
EWR,FLL,1065.0,-6.0
JFK,BOS,187.0,-10.0
LGA,MKE,738.0,5.0
EWR,DTW,488.0,23.0
LGA,MIA,1096.0,-6.0
JFK,RDU,427.0,0.0
EWR,DCA,199.0,-13.0
JFK,SLC,1990.0,1.0
JFK,SJU,1598.0,-38.0
JFK,BUF,301.0,36.0
LGA,IAH,1416.0,0.0
JFK,FLL,1069.0,16.0
LGA,DFW,1389.0,34.0
EWR,DEN,1605.0,48.0
LGA,ATL,762.0,4.0
LGA,DEN,1620.0,5.0
LGA,BNA,764.0,81.0
LGA,CLT,544.0,-1.0
LGA,BOS,184.0,-8.0
JFK,LGB,2465.0,-9.0
LGA,CMH,479.0,4.0
LGA,ATL,762.0,-5.0
LGA,ORD,733.0,19.0
EWR,DFW,1372.0,53.0
LGA,MSP,1020.0,93.0
EWR,DFW,1372.0,26.0
JFK,BOS,187.0,-2.0
EWR,MIA,1085.0,-8.0
EWR,DAY,533.0,56.0
JFK,ROC,264.0,12.0
LGA,DTW,502.0,3.0
JFK,MIA,1089.0,27.0
EWR,HOU,1411.0,12.0
JFK,PBI,1028.0,5.0
EWR,CLT,529.0,2.0
EWR,ALB,143.0,-10.0
EWR,BWI,169.0,-3.0
LGA,RDU,431.0,-11.0
EWR,BDL,116.0,-18.0
LGA,MCO,950.0,-3.0
EWR,LAX,2454.0,-11.0
EWR,SLC,1969.0,43.0
JFK,ATL,760.0,1.0
JFK,LAX,2475.0,-17.0
EWR,FLL,1065.0,-5.0
EWR,IND,645.0,37.0
JFK,JAX,828.0,0.0
EWR,PIT,319.0,8.0
JFK,LAX,2475.0,78.0
LGA,MIA,1096.0,-23.0
LGA,SRQ,1047.0,23.0
JFK,LAX,2475.0,4.0
EWR,STL,872.0,73.0
LGA,DFW,1389.0,18.0
EWR,HNL,4963.0,21.0
EWR,PHX,2133.0,26.0
EWR,BUF,282.0,11.0
JFK,PWM,273.0,-14.0
EWR,MHT,209.0,-13.0
EWR,MSN,799.0,24.0
EWR,CHS,628.0,-4.0
JFK,BOS,187.0,-22.0
EWR,GSO,445.0,46.0
JFK,MCO,944.0,-4.0
LGA,MDW,725.0,22.0
LGA,CLT,544.0,27.0
EWR,ORD,719.0,60.0
LGA,ORD,733.0,11.0
EWR,IAH,1400.0,19.0
EWR,PHX,2133.0,27.0
LGA,MEM,963.0,103.0
LGA,ATL,762.0,-2.0
EWR,MEM,946.0,84.0
LGA,ATL,762.0,6.0
EWR,FLL,1065.0,66.0
EWR,ORD,719.0,14.0
EWR,SEA,2402.0,-6.0
EWR,ORD,719.0,7.0
JFK,BOS,187.0,-18.0
JFK,SEA,2422.0,26.0
LGA,RSW,1080.0,-28.0
LGA,CLE,419.0,18.0
JFK,SFO,2586.0,-11.0
LGA,IAD,229.0,-15.0
EWR,CVG,569.0,65.0
EWR,ATL,746.0,15.0
JFK,BUR,2465.0,83.0
EWR,PBI,1023.0,26.0
LGA,IAH,1416.0,-9.0
LGA,PBI,1035.0,5.0
EWR,CLE,404.0,11.0
LGA,MSP,1020.0,-8.0
JFK,SFO,2586.0,20.0
JFK,DCA,213.0,-15.0
LGA,DTW,502.0,15.0
JFK,MCO,944.0,-27.0
EWR,IAD,212.0,-2.0
LGA,ORD,733.0,-10.0
LGA,ATL,762.0,19.0
JFK,MIA,1089.0,-22.0
LGA,CLT,544.0,4.0
JFK,RDU,427.0,11.0
JFK,IAD,228.0,-2.0
JFK,BUF,301.0,-2.0
JFK,FLL,1069.0,-18.0
JFK,CLE,425.0,22.0
LGA,DCA,214.0,-19.0
EWR,PWM,284.0,-21.0
JFK,SYR,209.0,-1.0
JFK,LAX,2475.0,-22.0
JFK,MSY,1182.0,1.0
JFK,PIT,340.0,10.0
LGA,PBI,1035.0,-17.0
LGA,ORD,733.0,17.0
EWR,AUS,1504.0,17.0
EWR,RSW,1068.0,-17.0
EWR,CLT,529.0,-4.0
LGA,CMH,479.0,3.0
EWR,CMH,463.0,0.0
EWR,TPA,997.0,-1.0
LGA,FLL,1076.0,3.0
EWR,FLL,1065.0,-4.0
EWR,RIC,277.0,127.0
LGA,RDU,431.0,-1.0
LGA,DFW,1389.0,18.0
LGA,DEN,1620.0,-18.0
JFK,ROC,264.0,-5.0
JFK,IND,665.0,3.0
EWR,MCO,937.0,26.0
EWR,TPA,997.0,0.0
LGA,ATL,762.0,11.0
LGA,BUF,292.0,-3.0
JFK,MCO,944.0,-18.0
EWR,CLT,529.0,11.0
JFK,PIT,340.0,5.0
JFK,SRQ,1041.0,52.0
EWR,SFO,2565.0,5.0
EWR,DFW,1372.0,60.0
JFK,DCA,213.0,-12.0
EWR,MCO,937.0,1.0
LGA,MCO,950.0,7.0
JFK,CMH,483.0,6.0
JFK,LAX,2475.0,3.0
EWR,LAX,2454.0,3.0
JFK,PBI,1028.0,27.0
EWR,MCO,937.0,125.0
EWR,MDW,711.0,24.0
JFK,FLL,1069.0,-14.0
JFK,BUF,301.0,27.0
JFK,RSW,1074.0,-21.0
EWR,IAH,1400.0,44.0
LGA,STL,888.0,6.0
EWR,ORD,719.0,46.0
LGA,CLT,544.0,-4.0
JFK,BWI,184.0,-5.0
EWR,DCA,199.0,34.0
EWR,GSP,594.0,47.0
EWR,DEN,1605.0,19.0
EWR,GRR,605.0,20.0
LGA,MKE,738.0,19.0
JFK,MCO,944.0,-24.0
JFK,SFO,2586.0,-6.0
JFK,LAX,2475.0,-17.0
EWR,LAS,2227.0,35.0
JFK,SJU,1598.0,115.0
JFK,SAN,2446.0,-21.0
JFK,SLC,1990.0,8.0
LGA,CLE,419.0,-2.0
JFK,ORD,740.0,5.0
EWR,ATL,746.0,8.0
LGA,MSP,1020.0,91.0
EWR,MCI,1092.0,136.0
EWR,MIA,1085.0,-8.0
JFK,IND,665.0,13.0
LGA,IAD,229.0,12.0
LGA,ATL,762.0,6.0
JFK,BNA,765.0,-8.0
JFK,DFW,1391.0,18.0
JFK,BOS,187.0,-33.0
LGA,ATL,762.0,16.0
JFK,CVG,589.0,10.0
LGA,PIT,335.0,-2.0
JFK,RSW,1074.0,-29.0
LGA,ORD,733.0,4.0
EWR,BNA,748.0,65.0
JFK,IAD,228.0,123.0
EWR,FLL,1065.0,7.0
JFK,LAS,2248.0,-28.0
JFK,PHL,94.0,-17.0
EWR,ORD,719.0,15.0
LGA,MCI,1107.0,-4.0
EWR,BUF,282.0,12.0
JFK,ORD,740.0,12.0
EWR,DEN,1605.0,9.0
LGA,RDU,431.0,28.0
EWR,FLL,1065.0,6.0
LGA,CLT,544.0,67.0
LGA,ORD,733.0,4.0
JFK,SYR,209.0,20.0
EWR,BOS,200.0,78.0
LGA,DFW,1389.0,72.0
LGA,MIA,1096.0,28.0
JFK,MCO,944.0,-23.0
JFK,FLL,1069.0,-35.0
LGA,MSP,1020.0,-3.0
LGA,DEN,1620.0,18.0
EWR,PHX,2133.0,29.0
EWR,PIT,319.0,20.0
LGA,ATL,762.0,17.0
EWR,IAH,1400.0,23.0
JFK,ATL,760.0,34.0
JFK,PHX,2153.0,3.0
JFK,SJU,1598.0,4.0
JFK,LAX,2475.0,15.0
JFK,DTW,509.0,2.0
JFK,TPA,1005.0,80.0
JFK,SFO,2586.0,-40.0
EWR,IAD,212.0,59.0
JFK,DEN,1626.0,-16.0
EWR,CVG,569.0,67.0
JFK,PBI,1028.0,-30.0
EWR,DCA,199.0,13.0
EWR,PHX,2133.0,-4.0
EWR,SAN,2425.0,-15.0
LGA,STL,888.0,23.0
EWR,ORD,719.0,14.0
EWR,DEN,1605.0,21.0
EWR,CLE,404.0,20.0
EWR,BOS,200.0,-8.0
JFK,MSP,1029.0,39.0
EWR,MKE,725.0,96.0
LGA,DTW,502.0,9.0
JFK,BOS,187.0,-34.0
EWR,RSW,1068.0,25.0
EWR,GSO,445.0,16.0
EWR,ATL,746.0,26.0
LGA,TPA,1010.0,56.0
JFK,SAN,2446.0,-4.0
LGA,DFW,1389.0,35.0
LGA,FLL,1076.0,-13.0
EWR,MHT,209.0,-1.0
JFK,AUS,1521.0,-14.0
EWR,ALB,143.0,40.0
JFK,EGE,1747.0,3.0
JFK,SFO,2586.0,-22.0
JFK,LAX,2475.0,-5.0
JFK,LAS,2248.0,-14.0
EWR,STL,872.0,41.0
EWR,MCO,937.0,22.0
JFK,ORF,290.0,-32.0
JFK,AUS,1521.0,11.0
LGA,ORD,733.0,16.0
LGA,IAH,1416.0,16.0
EWR,DFW,1372.0,44.0
LGA,CLT,544.0,9.0
EWR,ATL,746.0,-12.0
EWR,LAX,2454.0,6.0
EWR,HOU,1411.0,32.0
EWR,BTV,266.0,14.0
JFK,CLT,541.0,33.0
LGA,PBI,1035.0,68.0
LGA,DEN,1620.0,-19.0
EWR,SAT,1569.0,6.0
JFK,FLL,1069.0,-8.0
JFK,ORD,740.0,0.0
LGA,DEN,1620.0,-6.0
JFK,SJU,1598.0,61.0
EWR,ORD,719.0,16.0
LGA,ORD,733.0,10.0
JFK,SJU,1598.0,-7.0
LGA,RDU,431.0,3.0
JFK,LAX,2475.0,16.0
EWR,CLT,529.0,3.0
EWR,IAH,1400.0,24.0
JFK,MIA,1089.0,4.0
JFK,SFO,2586.0,-18.0
JFK,SAN,2446.0,3.0
EWR,SDF,642.0,107.0
EWR,SFO,2565.0,-3.0
LGA,ATL,762.0,14.0
JFK,PHX,2153.0,16.0
EWR,SEA,2402.0,-19.0
EWR,DAY,533.0,123.0
JFK,RSW,1074.0,46.0
EWR,PBI,1023.0,-12.0
LGA,DTW,502.0,3.0
JFK,PDX,2454.0,-21.0
LGA,MIA,1096.0,68.0
LGA,MCO,950.0,-24.0
JFK,RDU,427.0,66.0
EWR,MCO,937.0,-2.0
JFK,TPA,1005.0,27.0
LGA,TPA,1010.0,-4.0
LGA,MDW,725.0,10.0
JFK,IAD,228.0,34.0
JFK,LAX,2475.0,-6.0
JFK,MCO,944.0,4.0
EWR,MDW,711.0,65.0
LGA,MCO,950.0,21.0
EWR,MCO,937.0,17.0
EWR,DCA,199.0,51.0
LGA,ATL,762.0,-15.0
JFK,BOS,187.0,-12.0
JFK,FLL,1069.0,-5.0
EWR,ORD,719.0,37.0
EWR,CMH,463.0,8.0
JFK,RDU,427.0,-6.0
EWR,CLE,404.0,-3.0
LGA,BUF,292.0,-14.0
EWR,LAX,2454.0,-12.0
EWR,DTW,488.0,37.0
LGA,BNA,764.0,138.0
JFK,CLT,541.0,20.0
EWR,PDX,2434.0,-2.0
LGA,BNA,764.0,17.0
EWR,SEA,2402.0,-19.0
JFK,LGB,2465.0,-15.0
EWR,DFW,1372.0,14.0
EWR,STL,872.0,116.0
JFK,SJC,2569.0,-29.0
EWR,OMA,1134.0,338.0
LGA,BWI,185.0,8.0
LGA,CMH,479.0,18.0
EWR,LAS,2227.0,11.0
LGA,ORD,733.0,3.0
EWR,LAX,2454.0,26.0
JFK,MSP,1029.0,-19.0
JFK,SEA,2422.0,-2.0
JFK,DTW,509.0,3.0
EWR,CLT,529.0,14.0
LGA,MIA,1096.0,2.0
JFK,SEA,2422.0,-13.0
EWR,DEN,1605.0,9.0
LGA,CLE,419.0,32.0
EWR,PBI,1023.0,6.0
EWR,PWM,284.0,8.0
JFK,CHS,636.0,-4.0
EWR,SNA,2434.0,0.0
EWR,ORD,719.0,7.0
LGA,ORD,733.0,32.0
EWR,CVG,569.0,94.0
JFK,BUF,301.0,12.0
LGA,CRW,444.0,25.0
JFK,SFO,2586.0,-3.0
EWR,BTV,266.0,263.0
EWR,FLL,1065.0,8.0
LGA,STL,888.0,2.0
JFK,BOS,187.0,-29.0
JFK,SJU,1598.0,-7.0
LGA,DFW,1389.0,52.0
JFK,SJU,1598.0,-19.0
JFK,SFO,2586.0,78.0
LGA,ATL,762.0,2.0
JFK,IAD,228.0,-9.0
JFK,MSY,1182.0,1.0
JFK,SFO,2586.0,9.0
LGA,DCA,214.0,-14.0
LGA,CLE,419.0,40.0
LGA,ATL,762.0,-5.0
LGA,IAH,1416.0,3.0
JFK,LAX,2475.0,127.0
JFK,MCO,944.0,-22.0
JFK,ATL,760.0,0.0
LGA,MKE,738.0,-1.0
EWR,RIC,277.0,-9.0
JFK,MIA,1089.0,-47.0
JFK,OAK,2576.0,-15.0
JFK,MCO,944.0,-48.0
EWR,TPA,997.0,-11.0
JFK,SFO,2586.0,10.0
JFK,TPA,1005.0,-33.0
JFK,SLC,1990.0,2.0
JFK,LAS,2248.0,-12.0
EWR,BNA,748.0,40.0
JFK,ORD,740.0,19.0
LGA,CLT,544.0,15.0
LGA,RDU,431.0,-5.0
LGA,MCO,950.0,-19.0
EWR,PHX,2133.0,-15.0
JFK,SLC,1990.0,-19.0
EWR,SFO,2565.0,-4.0
LGA,ORD,733.0,-7.0
EWR,CLT,529.0,18.0
JFK,PHX,2153.0,-4.0
EWR,GRR,605.0,54.0
JFK,SMF,2521.0,5.0
LGA,IAD,229.0,-13.0
JFK,LAX,2475.0,21.0
EWR,DFW,1372.0,43.0
JFK,RDU,427.0,-18.0
EWR,BQN,1585.0,-4.0
JFK,SAN,2446.0,81.0
JFK,BNA,765.0,151.0
EWR,OMA,1134.0,40.0
JFK,LAX,2475.0,25.0
EWR,RIC,277.0,166.0
JFK,TPA,1005.0,-2.0
EWR,BOS,200.0,12.0
LGA,FLL,1076.0,-10.0
JFK,DCA,213.0,174.0
JFK,JAX,828.0,16.0
EWR,CHS,628.0,14.0
JFK,LAS,2248.0,44.0
JFK,LAX,2475.0,-11.0
EWR,SEA,2402.0,6.0
JFK,PIT,340.0,-6.0
JFK,BWI,184.0,-26.0
JFK,SFO,2586.0,-22.0
EWR,DFW,1372.0,11.0
JFK,SAT,1587.0,25.0
EWR,IAH,1400.0,3.0
EWR,TYS,631.0,75.0
JFK,PHL,94.0,-16.0
LGA,MIA,1096.0,-4.0
EWR,MIA,1085.0,-9.0
EWR,SAV,708.0,222.0
LGA,ORD,733.0,2.0
LGA,MSP,1020.0,83.0
LGA,CMH,479.0,-4.0
EWR,PIT,319.0,123.0
EWR,CLE,404.0,-4.0
JFK,BOS,187.0,-10.0
JFK,BUF,301.0,5.0
JFK,CMH,483.0,50.0
JFK,CLE,425.0,47.0
JFK,FLL,1069.0,-3.0
EWR,RSW,1068.0,-10.0
LGA,CAK,397.0,-7.0
JFK,AUS,1521.0,10.0
JFK,CVG,589.0,34.0
JFK,BUR,2465.0,91.0
JFK,FLL,1069.0,-14.0
EWR,AUS,1504.0,7.0
EWR,MKE,725.0,24.0
JFK,PBI,1028.0,50.0
EWR,MDW,711.0,45.0
EWR,MHT,209.0,-7.0
LGA,ORD,733.0,-35.0
JFK,HOU,1428.0,12.0
JFK,MSY,1182.0,10.0
EWR,IAH,1400.0,9.0
EWR,BOS,200.0,-17.0
EWR,LAX,2454.0,-28.0
EWR,RDU,416.0,34.0
JFK,JAX,828.0,3.0
JFK,DCA,213.0,-29.0
EWR,MCO,937.0,-28.0
JFK,RDU,427.0,45.0
JFK,PDX,2454.0,-1.0
JFK,RSW,1074.0,-2.0
LGA,DTW,502.0,4.0
EWR,PBI,1023.0,-5.0
EWR,ALB,143.0,44.0
EWR,IAD,212.0,61.0
LGA,MCO,950.0,-6.0
LGA,RDU,431.0,5.0
EWR,ORD,719.0,17.0
EWR,SDF,642.0,25.0
LGA,MDW,725.0,5.0
EWR,TPA,997.0,9.0
LGA,CLT,544.0,17.0
JFK,BOS,187.0,-6.0
EWR,SJU,1608.0,-12.0
JFK,LAS,2248.0,-32.0
JFK,LAX,2475.0,-5.0
EWR,SFO,2565.0,-14.0
EWR,MCO,937.0,-6.0
LGA,ATL,762.0,55.0
EWR,RIC,277.0,17.0
JFK,CVG,589.0,250.0
EWR,PVD,160.0,-10.0
EWR,DSM,1017.0,142.0
LGA,FLL,1076.0,-2.0
EWR,MCO,937.0,43.0
LGA,BNA,764.0,22.0
JFK,LAX,2475.0,-24.0
JFK,DCA,213.0,3.0
JFK,DEN,1626.0,-9.0
EWR,FLL,1065.0,28.0
EWR,FLL,1065.0,-14.0
JFK,SJU,1598.0,-14.0
JFK,MCO,944.0,2.0
EWR,BWI,169.0,-13.0
EWR,MIA,1085.0,246.0
JFK,PBI,1028.0,21.0
JFK,RDU,427.0,23.0
JFK,BUF,301.0,28.0
JFK,SJU,1598.0,-26.0
JFK,TPA,1005.0,73.0
EWR,BUF,282.0,127.0
EWR,PWM,284.0,8.0
JFK,FLL,1069.0,49.0
JFK,PWM,273.0,-16.0
JFK,BOS,187.0,-7.0
EWR,BDL,116.0,49.0
JFK,ROC,264.0,23.0
JFK,BTV,266.0,35.0
JFK,BUF,301.0,9.0
EWR,DCA,199.0,191.0
EWR,BTV,266.0,69.0
JFK,LAS,2248.0,73.0
JFK,SYR,209.0,33.0
